"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"274183827952373760","","","","","2012-11-29 16:11:33 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Boca 2 Real Madird 1 Copa Intercontinental 2000 (Resumen Completo) by CristianLBanayNews10 http://t.co/i67gVgXu","http://bit.ly/Shb1su"
"274163156899749888","","","","","2012-11-29 14:49:24 +0000","web","Grande #Boca!! 12 años de la  #HazañaIntercontinental contra el Real de los galácticos"
"273143725159485440","","","","","2012-11-26 19:18:33 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Ambato Tequila. Tercer recorrido y desempate. Final de caballos nuevos. Campeon 2012 by harasambato http://t.co/2RqEuBxc","http://bit.ly/V2qKu0"
"273064779004923904","","","272913746865819648","42933426","2012-11-26 14:04:51 +0000","web","RT @BocaJrsOficial: Grande Flaco #Schiavi,Felicitaciones por los 250 partidos. Estás en la galería de los grandes ídolos de #Boca.El pue ..."
"272860899004526593","","","","","2012-11-26 00:34:42 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Bien Caruzzo, 1er gol en 65 partidos en #Boca... Schiavi por favor dale un par de clases antes de irte!"
"272855118523805696","","","","","2012-11-26 00:11:44 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Vamos #Boca a seguir creciendo. La copa mas cerca... Vamos comprando el moño para un par que desde que entraron no jugamos mas a nada."
"271431586774388736","","","","","2012-11-22 01:55:07 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","El firulete de Román by takuaras http://t.co/WaXMBf7j","http://bit.ly/UU1DK0"
"271323751788978177","","","","","2012-11-21 18:46:38 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","La Passucci: Invasión a campo de juego para festejar Boca campeón 1962

http://t.co/M8LjaA4c","http://lapassucci.blogspot.com/2012/11/invasion-campo-de-juego-para-festejar.html?spref=tw"
"270322710469554176","","","","","2012-11-19 00:28:51 +0000","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Vamos #Boca !! Alentando siempre mas alla de los resultados y el nivel del equipo..."
"269522309021302784","","","269519018447216641","85627373","2012-11-16 19:28:20 +0000","web","RT @historiadeboca: El 19/9/91 Velez ganaba 2-0 con goles de los traidores Ruggeri y Gareca... Pero Cabañas metió 3 y ganó #Boca!!! http ..."
"269489009955319809","","939504848","","","2012-11-16 17:16:01 +0000","web","@fccap Ahora entiendo la calidad del gringo Heinze"
"269281521431609346","","","267427427024793600","131967942","2012-11-16 03:31:32 +0000","web","RT @VarskySports: #Boca 16 años del debut de Riquelme. Gracias por el fútbol, Román! Disfruten, luego aplaudan: http://t.co/L8LuhHSG #TO ...","http://goo.gl/qwatC"
"269280183847100416","","","","","2012-11-16 03:26:13 +0000","web","#boca ahora a pensar en el futuro"
